id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10585584,9890,270000,3552.63,4.0,4.0,1.0,76.0,0.0,3.0,,,0,1,11.0,0,0.0,0.0,0.0
10590882,1070,324457,3451.67,4.0,2.0,2.0,94.0,0.0,3.0,,45.0,7,1,7.0,0,0.0,0.0,0.0
10590880,1070,354385,3136.15,4.0,2.0,3.0,113.0,0.0,3.0,,45.0,7,1,7.0,0,0.0,0.0,0.0
10590881,1070,440000,3893.81,4.0,2.0,3.0,113.0,0.0,3.0,,45.0,7,1,28.0,1,23.0,0.0,0.0
10589931,1620,280000,3373.49,3.0,2.0,2.0,83.0,0.0,1.0,,139.0,6,1,19.0,0,0.0,0.0,0.0
10588134,1083,290000,2929.29,3.0,2.0,2.0,99.0,0.0,3.0,,322.0,4,1,8.0,0,0.0,0.0,0.0
10590046,8000,325000,4513.89,4.0,2.0,1.0,72.0,0.0,3.0,,131.0,6,1,5.0,0,0.0,0.0,0.0
10587908,1040,450000,5172.41,4.0,,2.0,87.0,0.0,3.0,,149.0,6,1,3.0,0,0.0,0.0,0.0
10590003,1200,595000,3966.67,3.0,2.0,4.0,150.0,0.0,3.0,,104.0,6,1,9.0,0,0.0,0.0,0.0
10552637,1140,230000,2705.88,3.0,2.0,2.0,85.0,0.0,1.0,,184.0,6,1,13.0,0,0.0,0.0,0.0
10593513,2018,595000,3718.75,3.0,2.0,2.0,160.0,0.0,1.0,,167.0,6,1,74.0,0,0.0,0.0,0.0
10578364,4280,135000,2700.0,3.0,2.0,1.0,50.0,0.0,2.0,,320.0,4,0,0.0,0,0.0,0.0,0.0
10578707,1060,239000,4780.0,3.0,2.0,1.0,50.0,0.0,3.0,,212.0,5,0,0.0,0,0.0,0.0,0.0
10307289,3010,299000,2902.91,3.0,2.0,2.0,103.0,0.0,2.0,,238.0,5,1,30.0,0,0.0,0.0,0.0
