,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
166,10467828,1000,600000,5128.21,117.0,3.0,0.0,0.0,7.0,0.0,4.0,3.0,45.0,7.0
167,10194191,1050,636000,6424.24,99.0,2.0,0.0,0.0,7.0,0.0,4.0,3.0,83.0,7.0
168,10579280,8300,675000,6750.0,100.0,2.0,0.0,0.0,15.0,0.0,2.0,3.0,440.0,3.0
169,10227791,1340,695000,4371.07,159.0,3.0,0.0,0.0,54.0,0.0,4.0,0.0,85.0,7.0
170,10457770,1200,805000,4707.6,171.0,3.0,0.0,0.0,16.0,0.0,4.0,3.0,55.0,7.0
171,10233050,1050,880000,7394.96,119.0,3.0,0.0,0.0,28.0,0.0,4.0,3.0,125.0,6.0
172,10457771,1050,1195000,7810.46,153.0,3.0,0.0,0.0,9.0,0.0,4.0,3.0,55.0,7.0
173,10457774,1180,1340000,7486.03,179.0,3.0,0.0,0.0,36.0,0.0,4.0,3.0,88.0,7.0
174,10477061,1050,1750000,7675.44,228.0,3.0,0.0,0.0,67.0,0.0,4.0,3.0,95.0,7.0
175,10584538,1083,239000,2438.78,98.0,2.0,0.0,0.0,7.0,0.0,3.0,2.0,156.0,6.0
176,10583579,1180,260000,4727.27,55.0,1.0,0.0,0.0,25.0,0.0,3.0,2.0,720.0,1.0
177,10571119,4590,189000,1800.0,105.0,2.0,0.0,70.0,15.0,0.0,3.0,2.0,230.0,5.0
178,10570928,9000,254000,4792.45,53.0,1.0,0.0,0.0,4.0,0.0,3.0,2.0,164.0,6.0
179,10570763,1000,790000,4157.89,190.0,3.0,0.0,0.0,27.0,0.0,4.0,3.0,247.0,5.0
180,10590038,8000,435000,3346.15,130.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,134.0,6.0
181,10536638,8300,565000,7847.22,72.0,2.0,0.0,0.0,16.0,0.0,4.0,3.0,207.0,5.0
