,id,Price,Type of property,Subtype of property,Locality,Surroundings type,Energy class,Heating type,Province,Zip,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Kitchen values,Building Cond. values,Parking,Urban_value,Normal_apt,Big_apt
4181,10585692,348000.0,apartment,apartment,rixensart,Isolated,D,Gas,Walloon Brabant,1332.0,88.0,3.0,1.0,1965.0,3.0,0.0,0.0,0.0,1.0,16.0,1.0,95.0,288.0,3.0,3.0,1.0,0,1,0
4182,10586389,367000.0,apartment,apartment,blankenberge,,B,Electric,West Flanders,8370.0,74.0,2.0,1.4,1984.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,1.0,4.0,0.0,0,1,0
4183,10585857,499000.0,apartment,duplex,antwerp,,B,Gas,Antwerp,2000.0,163.0,2.0,1.0,1994.2,2.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,140.0,3.0,4.0,4.0,1,0,1
4184,10575692,775000.0,apartment,apartment,uccle,,D,,Brussels Capital Region,1180.0,189.0,3.0,2.0,2013.2,2.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,168.0,3.0,4.0,2.0,1,1,0
4185,10587797,995000.0,apartment,apartment,knokke,Urban,B,Gas,West Flanders,8300.0,105.0,3.0,2.0,1936.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,187.0,1.0,4.0,0.0,0,1,0
4186,10575409,229000.0,apartment,apartment,sint-amandsberg,,D,Electric,East Flanders,9040.0,62.0,1.0,1.0,2006.0,2.4,0.0,0.0,0.0,1.0,6.0,1.0,0.0,357.0,1.0,4.0,0.0,0,1,0
4187,10572232,269000.0,apartment,apartment,bredene,,C,Electric,West Flanders,8450.0,115.0,3.0,2.0,2007.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,1.0,4.0,0.0,1,1,0
4188,10572753,289000.0,apartment,duplex,baelen,"Living area (residential, urban or rural)",B,Fuel oil,Liège,4837.0,145.0,3.0,1.0,2004.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,127.0,1.4,4.0,2.0,0,0,1
4189,10572707,295000.0,apartment,duplex,tienen,Urban,B,Gas,Flemish Brabant,3300.0,143.0,3.0,2.0,2023.0,2.0,0.0,0.0,0.0,1.0,22.0,1.0,65.0,111.0,3.0,4.0,3.0,0,0,1
4190,10574198,320000.0,apartment,apartment,antwerpen 1,"Living area (residential, urban or rural)",B,Gas,Antwerp,2018.0,80.0,1.0,1.0,1954.0,2.0,0.0,0.0,0.0,1.0,8.2,0.0,0.0,140.0,1.0,3.4,0.0,0,1,0
