,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
254,10566275,9120,340000,2575.76,132,3,0,0,8,0,4,3,184,6
255,10511319,4430,99000,1767.86,56,1,0,0,4,0,3,2,608,1
256,10309324,4820,99000,1053.19,94,2,0,0,32,0,3,1,387,4
257,10389243,4020,105000,2837.84,37,1,0,0,0,0,3,2,287,5
258,10047588,8370,125000,2906.98,43,1,1,0,3,0,1,1,320,4
259,10541676,4020,129000,2186.44,59,1,0,0,0,0,3,1,153,6
260,10340154,1030,137500,4910.71,28,1,0,0,2,0,3,1,527,2
261,10215361,1030,137500,4583.33,30,1,0,0,0,0,3,1,527,2
262,10254720,4690,138000,1916.67,72,2,0,0,2,0,3,2,439,3
263,10502591,2060,139000,4633.33,30,1,0,0,6,0,3,3,145,6
264,10267295,4000,139000,2316.67,60,1,0,0,0,0,2,1,226,5
265,10514879,2060,142500,4750.0,30,1,0,0,6,0,3,1,146,6
266,10498892,1070,144720,2297.14,63,1,0,0,0,0,3,2,736,1
267,10412455,1200,145000,4142.86,35,1,0,0,7,0,4,2,202,5
268,10149129,4000,149000,1405.66,106,1,0,0,0,0,3,1,180,6
269,10524758,4500,149000,1839.51,81,1,0,0,10,0,3,2,264,5
270,10425382,4040,149500,1993.33,75,2,1,0,12,0,3,1,207,5
271,10443210,4500,149500,1993.33,75,2,0,0,0,0,3,1,107,6
272,10448955,1030,155000,3690.48,42,1,0,0,5,0,3,0,325,4
273,10123521,1030,155000,4843.75,32,2,1,0,13,0,3,1,364,4
274,10421633,4000,155000,1581.63,98,2,0,0,5,0,3,2,150,6
275,10358458,4610,155000,2719.3,57,1,0,0,3,0,3,1,138,6
276,10514881,2060,157000,4906.25,32,1,1,0,5,0,3,3,111,6
277,10549181,2610,159000,1962.96,81,2,0,0,3,0,3,1,184,6
278,10520742,2850,159000,1939.02,82,2,0,0,3,0,3,1,180,6
279,10372538,4520,159500,1993.75,80,2,0,0,9,0,3,1,372,4
280,10495511,6880,163000,2037.5,80,2,0,0,23,0,3,2,219,5
281,10541677,4020,164000,2157.89,76,1,1,0,0,0,3,1,241,5
282,10513206,2660,165000,1833.33,90,2,0,0,5,0,2,2,223,5
283,10516713,1500,169000,2166.67,78,2,0,0,2,0,2,2,347,4
284,10516712,1501,169000,2166.67,78,2,0,0,2,0,2,2,347,4
285,10551033,4000,169000,2283.78,74,1,0,0,0,0,4,1,306,4
286,10420799,4500,169000,1742.27,97,3,0,0,8,0,3,2,275,5
287,10477304,4680,169000,1420.17,119,4,0,649,0,0,1,0,180,6
288,10506812,9600,169000,2283.78,74,2,0,0,4,0,3,1,374,4
289,10511079,1060,170000,3469.39,49,1,0,0,0,0,1,1,560,2
290,10521364,2100,174000,2289.47,76,2,0,0,0,0,3,1,357,4
291,10521356,2140,174000,2289.47,76,2,0,0,0,0,3,1,357,4
292,10223411,1400,175000,2272.73,77,2,0,0,3,0,3,1,190,6
293,10371243,9100,179900,3598.0,50,1,0,0,4,0,4,3,113,6
294,10445856,1400,180000,2400.0,75,2,0,0,15,0,2,2,215,5
295,10376761,1000,185000,5000.0,37,1,1,0,3,0,3,1,283,5
296,10356252,1020,185000,2846.15,65,2,0,0,0,0,2,0,188,6
297,9207633,1030,185000,3490.57,53,2,0,0,4,0,4,3,186,6
298,10506810,9600,185000,2500.0,74,1,0,140,6,0,3,1,381,4
299,10528156,2830,185250,2231.93,83,2,0,0,17,0,2,2,351,4
300,10524572,9600,187500,2568.49,73,1,0,0,6,0,4,1,83,7
301,10364973,1090,189000,2520.0,75,1,0,0,3,0,1,0,209,5
302,10318080,4500,189000,2362.5,80,2,0,0,20,0,4,1,181,6
303,10511710,1070,190000,2567.57,74,2,0,0,7,0,2,1,166,6
304,10472340,1083,195000,2826.09,69,2,0,0,28,0,2,2,177,6
305,10496742,1410,195000,4148.94,47,1,0,0,23,0,2,0,403,3
306,10347516,1630,195000,2600.0,75,2,0,0,14,0,2,1,183,6
307,10523250,4357,195000,1026.32,190,3,0,0,0,0,3,2,380,4
308,10332754,8370,195000,3750.0,52,1,1,0,70,0,3,1,1234,1
309,10521342,9000,195000,3250.0,60,1,0,0,0,0,0,1,143,6
310,10457869,1880,199000,2842.86,70,2,0,0,17,0,3,2,107,6
311,10528248,4500,199000,2072.92,96,2,0,0,0,0,3,2,133,6
312,10522433,4680,199000,1950.98,102,2,0,854,0,0,4,1,205,5
313,10441011,6043,199000,1990.0,100,3,0,0,25,0,4,1,352,4
314,10463098,2900,199500,2493.75,80,2,0,0,4,0,2,1,189,6
315,10207621,1640,200000,579.71,345,3,0,0,0,0,1,1,450,3
316,10347723,8370,206000,3491.53,59,2,1,0,9,0,3,2,297,5
317,10463827,1080,209000,2375.0,88,3,0,0,6,0,3,3,242,5
318,9437060,1090,209000,2271.74,92,2,0,0,6,0,3,2,749,1
319,10230683,1020,210000,2210.53,95,2,0,0,2,0,3,1,350,4
320,10164023,1140,210000,2763.16,76,2,0,0,36,0,4,0,79,7
321,9861272,1140,210000,2441.86,86,1,0,0,7,0,1,2,201,5
322,10533039,9000,210000,4772.73,44,1,0,0,0,0,3,1,201,5
323,10484151,1300,215000,3071.43,70,2,0,0,12,0,3,2,279,5
324,10302526,1800,215000,3467.74,62,1,0,0,36,0,3,3,340,4
325,10540627,8370,215000,5512.82,39,1,1,0,0,0,3,1,276,5
326,10361108,8620,215000,4574.47,47,1,1,0,3,0,4,2,86,7
327,10460803,8370,216000,3857.14,56,1,0,0,5,0,3,1,89,7
328,9404012,1030,219000,2737.5,80,2,0,0,4,0,3,1,626,1
329,10515417,1090,219000,2737.5,80,2,0,0,10,0,3,1,164,6
330,10454980,1140,220000,2444.44,90,2,0,0,14,0,3,1,233,5
331,10183033,9400,220000,1803.28,122,3,0,0,6,0,3,1,155,6
332,10547657,4020,224000,1454.55,154,3,0,0,0,0,4,3,210,5
333,10427447,1020,225000,2647.06,85,2,0,0,22,0,3,3,142,6
334,10550895,1090,225000,2647.06,85,2,0,0,19,0,2,1,204,5
335,10315004,1932,225000,3000.0,75,2,0,0,18,0,3,1,195,6
336,10525715,2660,225000,2743.9,82,2,0,0,6,0,4,1,146,6
337,10386921,4500,225000,2368.42,95,2,0,0,0,0,3,2,235,5
338,10537199,9280,225000,2250.0,100,2,0,280,0,0,3,2,585,2
339,10262031,6960,228000,786.21,290,4,0,300,0,0,1,0,538,2
340,10409837,1200,230000,3593.75,64,1,0,0,4,0,2,0,185,6
341,10470378,1200,235000,4122.81,57,1,0,0,10,0,3,1,427,3
342,10551562,1080,239000,2655.56,90,2,0,0,3,0,4,3,246,5
343,10419257,1082,239000,2715.91,88,2,0,0,8,0,4,1,177,6
344,10545781,6791,239000,1512.66,158,2,0,0,0,0,3,1,390,4
345,10541142,9230,239000,2914.63,82,2,0,0,27,0,4,3,37,7
346,10500409,2140,239900,2423.23,99,2,0,0,5,0,3,1,152,6
347,10410375,1160,240000,4067.8,59,1,0,0,3,0,3,1,272,5
348,10367809,1340,240000,2823.53,85,1,0,0,0,0,3,1,332,4
349,10331101,4500,242500,3031.25,80,2,0,0,9,0,4,1,88,7
350,10320217,4500,242500,3031.25,80,2,0,0,9,0,4,1,88,7
351,10429975,1200,245000,3062.5,80,2,0,0,15,0,3,1,201,5
352,10479805,1435,245000,3402.78,72,2,0,0,7,0,4,1,278,5
353,10538875,9280,247000,2470.0,100,2,0,280,5,1,3,2,440,3
354,10220449,1020,249000,2766.67,90,2,0,0,15,0,3,1,262,5
355,10369488,1770,249000,2766.67,90,2,0,0,18,0,4,3,346,4
356,10549180,2100,249000,3112.5,80,2,0,0,0,0,3,1,147,6
357,10513010,2140,249000,2829.55,88,2,0,0,20,0,3,1,80,7
358,10524656,2500,250000,2358.49,106,2,0,0,14,0,3,2,135,6
359,10075225,1000,255000,3187.5,80,2,1,0,0,0,2,1,463,3
360,10180635,1140,255000,2656.25,96,2,0,0,12,0,4,3,119,6
361,10467511,1190,255000,4112.9,62,1,0,0,0,0,4,3,240,5
362,10503239,1200,255000,3187.5,80,2,0,0,13,0,2,1,183,6
363,10485632,9200,255000,3035.71,84,2,0,0,4,0,3,2,106,6
364,10238410,1210,259000,4625.0,56,1,1,0,2,0,4,2,86,7
365,10441395,4020,259000,2590.0,100,3,0,0,2,0,3,2,205,5
366,10492508,4100,259000,2023.44,128,3,0,0,5,0,3,1,310,4
367,10243890,1030,260000,2795.7,93,2,0,0,12,0,2,2,165,6
368,10431197,1083,260000,2385.32,109,2,0,0,8,0,2,1,236,5
